video_trending_country,video_category_id,trending_appearances,total_views,avg_views,total_likes,rank
Germany,Music,16175,6836264058,1326657,270286180,3
Germany,Sports,9801,1766206328,1290143,38684013,4
Germany,People & Blogs,5354,1455673487,1092028,35838822,5
Germany,News & Politics,2762,294418761,889483,4267432,6
Germany,Autos & Vehicles,2583,275046010,958348,13433527,7
Germany,Science & Technology,2304,425757776,1179384,12000843,8
Germany,Education,1723,358311988,1905915,12534482,9
Germany,Film & Animation,1643,1420857125,2670784,48343213,10
Ghana,Music,13635,2997597781,3418013,89061007,1
Ghana,Entertainment,9464,10010934140,15890372,292082106,2
Ghana,Gaming,7032,1465029092,1189147,48968791,3
Ghana,Sports,4837,2745209619,4741295,69949909,4
Ghana,People & Blogs,4819,8421667583,27612025,189952851,5
Ghana,Film & Animation,3402,1169294487,4585469,48641269,6
Ghana,Comedy,1994,2120750654,20589812,56927088,7
Ghana,Howto & Style,1121,2723744367,52379699,47081899,8
Ghana,News & Politics,1078,143384302,1340040,4699483,9
Ghana,Science & Technology,279,515699413,30335260,13194855,10
Greece,Gaming,21559,4345225432,914977,127050552,1
Greece,Entertainment,13446,18695243362,13848328,528707712,2
Greece,Music,13406,5138556377,6897391,125625595,3
Greece,People & Blogs,7539,14445259257,26456519,313089612,4
Greece,Sports,4403,4823861475,10695923,145388775,5
Greece,Comedy,2919,4432896634,24491142,113225970,6
Greece,Howto & Style,1527,4536331978,41617725,72307651,7
Greece,Film & Animation,1362,790363340,7185121,25412095,8
Greece,News & Politics,969,223100381,2187259,5790229,9
Greece,Education,547,596226579,17035045,11254791,10
Guatemala,Music,32798,10122766072,3334244,260397705,1
Guatemala,Gaming,23671,5579616450,550801,160178973,2
Guatemala,Entertainment,13506,4736598156,3219985,156749310,3
Guatemala,People & Blogs,11613,1901225417,1445799,40444801,4
Guatemala,Sports,3957,1229048771,2414634,28044363,5
Guatemala,Film & Animation,1881,681246027,3228654,22734874,6
Guatemala,Howto & Style,911,81928604,2156016,2510035,7
Guatemala,News & Politics,867,105052971,1117585,1199591,8
Guatemala,Comedy,824,78251030,1701109,4887070,9
Guatemala,Education,263,23995934,545362,620465,10
Honduras,Gaming,26147,5196769913,672199,148558784,1
Honduras,Music,24883,9495744818,5998575,230504845,2
Honduras,Entertainment,12124,4703114077,4893979,152555400,3
Honduras,People & Blogs,10515,1813684631,1941847,37810246,4
Honduras,Sports,3967,1100431581,2607658,25442178,5
Honduras,Film & Animation,1288,488483326,4565265,17447368,6
Honduras,News & Politics,690,85493407,1096069,907704,7
Honduras,Howto & Style,640,76616637,3192360,2107260,8
Honduras,Comedy,478,52251336,2177139,3536227,9
Honduras,Education,285,23716425,624116,601152,10
Hong Kong,Gaming,23755,2985161859,410444,75794583,1
Hong Kong,People & Blogs,14615,6990436026,5072885,159273149,2
Hong Kong,Music,11289,5497195912,4939080,161143317,3
Hong Kong,Entertainment,9976,7780509153,7613023,233990833,4
Hong Kong,Film & Animation,2488,539252733,1502097,15817712,5
Hong Kong,News & Politics,2008,172644059,953835,3820346,6
Hong Kong,Sports,1947,2147959705,8949832,60453329,7
Hong Kong,Howto & Style,992,1162821171,12370438,19186373,8
Hong Kong,Pets & Animals,897,328889948,6090555,8448807,9
Hong Kong,Education,894,733719216,12650331,12207438,10
Hungary,Music,20474,4650005359,3238165,122185351,1
Hungary,Gaming,18705,4065250985,929200,124064360,2
Hungary,Entertainment,12285,19674484271,17243194,568557631,3
Hungary,People & Blogs,10470,14820390055,18229262,321984817,4
Hungary,Comedy,4405,4774707874,16753361,124363907,5
Hungary,Sports,3038,4627923760,21625812,137191653,6
Hungary,News & Politics,1630,142419890,842721,3066316,7
Hungary,Howto & Style,1596,3846469817,36633046,63140964,8
Hungary,Film & Animation,1543,878949052,5527981,26592551,9
Hungary,Science & Technology,784,919584148,11789540,33188348,10
Iceland,Entertainment,14173,14290821148,21620002,508836346,1
Iceland,People & Blogs,6575,5665264471,19269607,178061680,2
Iceland,Gaming,6276,2901121285,6293105,105986513,3
Iceland,Sports,6025,4809788960,9249594,151239299,4
Iceland,Comedy,4379,2790616089,14923081,108098285,5
Iceland,Science & Technology,1783,1820975673,18209757,73179984,6
Iceland,Film & Animation,1588,821297878,11902868,37644516,7
Iceland,News & Politics,1396,511186977,3814828,8692693,8
Iceland,Music,1207,1313605676,25756974,42727670,9
Iceland,Education,1181,370496782,8233262,13638500,10
India,Entertainment,20171,13541629836,1622335,308824879,1
India,Music,19894,9977621012,1170121,270238842,2
India,Gaming,16939,5634678744,516280,186045511,3
India,People & Blogs,8444,3744304721,1004104,152467250,4
India,Film & Animation,2871,2239531153,2320758,45257915,5
India,Comedy,2429,1043700589,1399062,39649976,6
India,Sports,1879,1397497281,1860849,30779011,7
India,Howto & Style,1052,236765486,717471,6074585,8
India,Science & Technology,978,593226332,1871376,27836143,9
India,News & Politics,922,396264837,1065228,5195822,10
Indonesia,Gaming,36590,5830634625,229788,108676894,1
Indonesia,Entertainment,14326,3633422682,1841573,116585859,2
Indonesia,Music,12741,4630379258,1621281,168717856,3
Indonesia,People & Blogs,12473,2339941846,1176441,64674989,4
Indonesia,Sports,7213,1507778280,1759368,25729768,5
Indonesia,Film & Animation,4387,1625789230,1382474,57503936,6
Indonesia,Comedy,2499,409099008,2066157,9776994,7
Indonesia,News & Politics,1188,79626537,402154,1019445,8
Indonesia,Autos & Vehicles,915,39053273,513859,686461,9
Indonesia,Pets & Animals,699,47341908,928273,965361,10
Iraq,Gaming,36386,5727033128,300805,167234628,1
Iraq,Entertainment,17558,4001391395,1914541,134006728,2
Iraq,People & Blogs,12455,1374974696,441404,45141847,3
Iraq,Music,10303,4207334816,2258365,122963053,4
Iraq,Sports,4268,1185007182,2705496,31905448,5
Iraq,Film & Animation,1913,382283351,1253388,18461639,6
Iraq,Comedy,1864,150320510,1768477,7206220,7
Iraq,Education,1410,104498988,1111691,5063518,8
Iraq,News & Politics,1290,129469074,1269305,2066561,9
Iraq,Howto & Style,692,123848476,854127,5641741,10
Ireland,Gaming,25131,5441404948,1305833,175679334,1
